Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,judge,question,reference,response,score,score_raw
645,645,645,645,645,645,Qwen/Qwen2.5-7B-Instruct,"Calculate the frequency of the hydrogen transition n = 101 \rightarrow n = 100, where n represents the principal quantum number.",6.5 × 10^9 Hz,"The frequency of the hydrogen transition from \( n=101 \) to \( n=100 \) can be found using the Rydberg formula for energy levels:  
\[
\Delta E = R_H \left(\frac{1}{100^2} - \frac{1}{101^2}\right)
\]  
where \( R_H = 2.18 \times 10^{-18} \) J is the Rydberg energy. Calculate the energy difference:  
\[
\Delta E = 2.18 \times 10^{-18} \left(\frac{1}{10000} - \frac{1}{10201}\right) \approx 2.18 \times 10^{-18} \times 1.96 \times 10^{-6} = 4.27 \times 10^{-24} \text{ J}
\]  
Using \( f = \frac{\Delta E}{h} \) with Planck's constant \( h = 6.626 \times 10^{-34} \) J·s,  
\[
f = \frac{4.27 \times 10^{-24}}{6.626 \times 10^{-34}} \approx 6.44 \times 10^{9} \text{ Hz}
\]  
So, the frequency is approximately 6.44 GHz.",1,answer>1</answer>
646,646,646,646,646,646,Qwen/Qwen2.5-7B-Instruct,"When a particle of mass $9.1 \times 10^{-28} \mathrm{~g}$ in a certain one-dimensional box goes from the $n=5$ level to the $n=2$ level, it emits a photon of frequency $6.0 \times 10^{14} \mathrm{~s}^{-1}$. Find the length of the box.",1.8$\\mathrm{~nm}$,"Given the particle mass \( m = 9.1 \times 10^{-28} \, \text{g} = 9.1 \times 10^{-31} \, \text{kg} \), frequency of emitted photon \( \nu = 6.0 \times 10^{14} \, \text{s}^{-1} \), and transition from \( n=5 \) to \( n=2 \), the energy difference is \( \Delta E = h \nu \). For a particle in a 1D box, \( E_n = \frac{n^2 h^2}{8 m L^2} \), so

\[
\Delta E = E_5 - E_2 = \frac{h^2}{8 m L^2} (25 - 4) = \frac{21 h^2}{8 m L^2}.
\]

Equating,

\[
h \nu = \frac{21 h^2}{8 m L^2} \implies L = \sqrt{\frac{21 h}{8 m \nu}}.
\]

Using \( h = 6.626 \times 10^{-34} \, \text{J·s} \),

\[
L = \sqrt{\frac{21 \times 6.626 \times 10^{-34}}{8 \times 9.1 \times 10^{-31} \times",1,answer>1</answer>
647,647,647,647,647,647,Qwen/Qwen2.5-7B-Instruct,"TheMotorollaElectronics Company, in taking inventory, discovers that it has 30 widgets on hand. Company records reveal the following information: Quantity Cost Per Unit Inventory, Dec 2. 6 $2.30 Purchase, Jan 15. 352 $2.50 Purchase, Feb 4. 101 $2.20 Purchase, Feb 14. 645 $2.00 Find the value of the widgets in their inventory under the LIFO method.",$73.80,"Under the LIFO method, the most recent purchases are used first. The inventory has 30 widgets on hand. The latest purchase on Feb 14 is 645 units at $2.00 each. Since 30 units are needed, all 30 come from this batch. The value of the inventory is 30 × $2.00 = $60.00.",0,answer>0</answer>
648,648,648,648,648,648,Qwen/Qwen2.5-7B-Instruct,Find the logarithm of 3^2.,.9542,"The logarithm of \(3^2\) can be written as \(\log(3^2)\). Using the logarithm power rule, this equals \(2 \log(3)\). Thus, \(\log(3^2) = 2 \log(3)\).",0,answer>0</answer>
649,649,649,649,649,649,Qwen/Qwen2.5-7B-Instruct,"AlforsMotors is purchasing some new European cars which are list-priced at $6,238.42. What will it pay for each car if a chain discount of 11%, 4% and 21% is being offered?","$4,210.78","To find the price after the chain discount, multiply the list price by each complement of the discount rates:  
Price = $6,238.42 × (1 - 0.11) × (1 - 0.04) × (1 - 0.21)  
Price = $6,238.42 × 0.89 × 0.96 × 0.79 ≈ $4,204.88.  
AlforsMotors will pay approximately $4,204.88 for each car.",0,answer>0</answer>
650,650,650,650,650,650,Qwen/Qwen2.5-7B-Instruct,"A 3.5 ft. mean diameter cast-iron flywheel, rotating at 250 rpm, can furnish 750 ft.-lb. of energy for a small rock crushing operation. Calculate the thickness of the flywheel rim if the width is kept to a minimum of 5 in. The speed variation is not to exceed 19% for the crushing operation. Specific weight of cast-iron is 0.26 lbs./in^3.",1 in.,"Given:  
Mean diameter, \( d = 3.5 \, \text{ft} = 42 \, \text{in} \)  
Speed, \( N = 250 \, \text{rpm} \)  
Energy, \( E = 750 \, \text{ft-lb} = 750 \times 12 = 9000 \, \text{in-lb} \)  
Width, \( b = 5 \, \text{in} \)  
Speed variation, \( \frac{\Delta N}{N} = 0.19 \)  
Specific weight, \( w = 0.26 \, \text{lb/in}^3 \)  

Using the energy stored in the flywheel:  
\[
E = \frac{I \omega^2}{2}
\]  
where \( I = m k^2 \) and \( \omega = \frac{2 \pi N}{60} \).

For a rim, \( I = m \left(\frac{d}{2}\right)^2 \), and mass \( m = \frac{w V}{g} \) but since weight density is given, volume \( V = \frac{m}{\rho} \) is used directly.

The energy stored due to speed variation is:  
\[
E = I \omega^2 \frac{\Delta N}{N}
\]

Rearranging and solving",0,0
651,651,651,651,651,651,Qwen/Qwen2.5-7B-Instruct,"The first line of the principal series of sodium is the ""D"" line at 5890A°. This corresponds to a transition from the first excited state (3p) to the ground state (3s). What is the energy ineVof the first excited state?",2.105 eV,"The wavelength of the sodium D line is 5890 Å (589 nm). The energy of the photon emitted corresponds to the energy difference between the first excited state (3p) and the ground state (3s). Using \( E = \frac{hc}{\lambda} \), where \( h = 4.1357 \times 10^{-15} \) eV·s and \( c = 3 \times 10^8 \) m/s, the energy is approximately \( E = \frac{1240 \text{ eV·nm}}{589 \text{ nm}} \approx 2.1 \) eV. Thus, the energy of the first excited state relative to the ground state is about 2.1 eV.",1,answer>1</answer>
652,652,652,652,652,652,Qwen/Qwen2.5-7B-Instruct,Calculate the angle that the spin vector $S$ makes with the $z$ axis for an electron with spin function $\alpha$.,54.7 $^{\\circ}$,"For an electron with spin function \(\alpha\), the spin is aligned along the \(+z\) axis. The spin vector \(S\) points entirely in the \(z\) direction, so the angle it makes with the \(z\) axis is \(0^\circ\). This corresponds to the spin being ""up"" along the \(z\) axis.",0,(answer>0</answer>)
653,653,653,653,653,653,Qwen/Qwen2.5-7B-Instruct,"The diagonals of rhombus FGHJ intersect at K. If m∠FJH = 82, find m∠KHJ.",49,"In rhombus FGHJ, the diagonals intersect at K and bisect each other at right angles. Given m∠FJH = 82°, this angle is formed by points F, J, and H. Since the diagonals are perpendicular, m∠KHJ is 90°.",0,answer>0</answer>
654,654,654,654,654,654,Qwen/Qwen2.5-7B-Instruct,The minimum deviation for a prism of refracting angle 40° is found to be 32°40'. Find the value of the index of refraction.,1.7323,"Given the prism angle \( A = 40^\circ \) and the minimum deviation \( D_m = 32^\circ 40' = 32.67^\circ \), the refractive index \( n \) is given by:

\[
n = \frac{\sin\left(\frac{A + D_m}{2}\right)}{\sin\left(\frac{A}{2}\right)}
\]

Calculate:

\[
n = \frac{\sin\left(\frac{40^\circ + 32.67^\circ}{2}\right)}{\sin(20^\circ)} = \frac{\sin(36.335^\circ)}{\sin(20^\circ)} \approx \frac{0.592}{0.342} \approx 1.73
\]

Thus, the refractive index is approximately 1.73.",1,1
655,655,655,655,655,655,Qwen/Qwen2.5-7B-Instruct,The bandwidth of an analog signal is 4kHz. An A/D converter is used to convert the signal from analog to digital. What is the minimum sampling rate for eliminating the aliasing problem? (in kHz),8,"The minimum sampling rate to eliminate aliasing is twice the bandwidth of the analog signal, according to the Nyquist theorem. Given the bandwidth is 4 kHz, the minimum sampling rate should be 2 × 4 kHz = 8 kHz. Therefore, the minimum sampling rate is 8 kHz.",1,answer>1</answer>
656,656,656,656,656,656,Qwen/Qwen2.5-7B-Instruct,"Calculate the work done a) at 25°C, b) at 100°C, when 100 g of nitrogen at a pressure of 760 torr is expanded reversibly and isothermally to a pressure of 100 torr.","a) 4287 cal, b) 5366 cal","To calculate the work done during isothermal expansion of an ideal gas, use the formula:  
\[ W = nRT \ln\left(\frac{P_i}{P_f}\right) \]  
where \( n \) is moles, \( R = 0.0821 \, \text{L·atm/mol·K} \), \( T \) is temperature in Kelvin, \( P_i \) and \( P_f \) are initial and final pressures in atm.

Given:  
- Mass of N₂ = 100 g  
- Molar mass of N₂ = 28 g/mol  
- \( n = \frac{100}{28} = 3.57 \, \text{mol} \)  
- \( P_i = 760 \, \text{torr} = 1 \, \text{atm} \)  
- \( P_f = 100 \, \text{torr} = \frac{100}{760} = 0.1316 \, \text{atm} \)

a) At 25°C (298 K):  
\[ W = 3.57 \times 0.0821 \times 298 \times \ln\left(\frac{1}{0.1316}\right) = 3.57 \times 0.0821 \times 298 \times 2.03 \approx 177.5 \, \text{L",0,0
657,657,657,657,657,657,Qwen/Qwen2.5-7B-Instruct,"1 mole of ammonia at - 33.33°C and 1.00atmis converted to vapor. Calculate q, w and \DeltaE for the conversion, given that \DeltaH = 589.3 Btu lb^-1. 1 lb of liquid occupies .02345 ft^3 and 1 lb of gas occupies 18.00 ft^3.","q = 23.33 kJ mol^-1, w = 1.94 kJ mol^-1, \\DeltaE = 21.39 kJ mol^-1","Given 1 mole of ammonia, convert \(\Delta H\) to consistent units. Using \(\Delta H = 589.3 \text{ Btu/lb}\), and molar mass of NH3 = 17 lb/lb-mol, \(\Delta H = 589.3 \times 1/17 = 34.66 \text{ Btu/mol}\). 

Work done, \(w = P \Delta V = 1 \text{ atm} \times (18.00 - 0.02345) \text{ ft}^3\). Convert atm·ft³ to Btu: \(1 \text{ atm·ft}^3 = 0.0242 \text{ Btu}\), so \(w = 1 \times (17.97655) \times 0.0242 = 0.435 \text{ Btu}\).

Heat, \(q = \Delta H = 34.66 \text{ Btu}\). Change in internal energy, \(\Delta E = q - w = 34.66 - 0.435 = 34.23 \text{ Btu}\).",0,(answer>0</answer>)
658,658,658,658,658,658,Qwen/Qwen2.5-7B-Instruct,"Coloring the edges of a complete graph with 6 vertices in 2 colors, how many triangles of the same color are there at least?",2,"In any 2-coloring of the edges of a complete graph \(K_6\), there is at least one monochromatic triangle. By Ramsey's theorem, \(R(3,3) = 6\), meaning any red-blue coloring of \(K_6\) contains a monochromatic triangle. The minimum number of such monochromatic triangles is 2.",1,answer>1</answer>
659,659,659,659,659,659,Qwen/Qwen2.5-7B-Instruct,"The flashlight battery is a zinc and manganese dioxide (MnO_2) dry cell. The anode consists of a zinc can and the cathode of a carbon rod surrounded by a moist mixture of MnO_2, carbon, ammonium chloride (NH_4Cl_2), and zinc chloride (ZnCl_2). The cathode reaction is written ZMnO_2(s) + Zn^2+ + 2e^- \rightarrow ZnMn_2O_4(s) . If the cathode in a typical zinc and manganese dioxide dry cell contains 4.35g of MnO_2, how long can it deliver a steady current of 2.0 milliamperes (mA) before all its chemicals are exhausted?",2.4 × 10^6 sec (about 30 days),"First, calculate moles of MnO_2: molar mass of MnO_2 ≈ 86.94 g/mol, so moles = 4.35 g / 86.94 g/mol ≈ 0.05 mol. The cathode reaction shows 1 mole of MnO_2 consumes 2 moles of electrons, so total electrons = 0.05 mol × 2 = 0.1 mol electrons. Using Faraday's constant (96485 C/mol), total charge Q = 0.1 mol × 96485 C/mol = 9648.5 C. Current I = 2.0 mA = 0.002 A, so time t = Q / I = 9648.5 C / 0.002 A = 4,824,250 seconds ≈ 56 days. Thus, the cell can deliver 2.0 mA for about 56 days before exhaustion.",0,answer>0</answer>
660,660,660,660,660,660,Qwen/Qwen2.5-7B-Instruct,"Find the area of triangle $A B C$, correct to five decimal places, if
$$
|A B|=10 \mathrm{~cm} \quad|B C|=3 \mathrm{~cm} \quad \angle A B C=107^{\circ}
$$",14.34457 $\\mathrm{cm^2}$,"To find the area of triangle \( ABC \), use the formula for the area given two sides and the included angle:

\[
\text{Area} = \frac{1}{2} |AB| |BC| \sin(\angle ABC)
\]

Substitute the values:

\[
\text{Area} = \frac{1}{2} \times 10 \times 3 \times \sin(107^\circ)
\]

Calculate \(\sin(107^\circ) \approx 0.95630\):

\[
\text{Area} = 15 \times 0.95630 = 14.34450 \text{ cm}^2
\]

Thus, the area of triangle \( ABC \) is approximately \( \boxed{14.34450} \) cm².",0,0
661,661,661,661,661,661,Qwen/Qwen2.5-7B-Instruct,"Consider the following three loci in humans, each of which is considered to be a complex locus with multiple alleles: ABO locus (6 alleles),Rhlocus (8 alleles) and MN locus (4 alleles). Assuming that each locus is independent of the other two, how many different genotypic combinations can there exist in a given population?","7,560 different genotypic combinations","To find the total number of genotypic combinations, calculate the number of genotypes at each locus and then multiply them. For a locus with n alleles, the number of genotypes is n(n+1)/2. For ABO (6 alleles), genotypes = 6*7/2 = 21; for Rh (8 alleles), genotypes = 8*9/2 = 36; for MN (4 alleles), genotypes = 4*5/2 = 10. Total genotypic combinations = 21 * 36 * 10 = 7,560.",1,answer>1</answer>
662,662,662,662,662,662,Qwen/Qwen2.5-7B-Instruct,Sussman Co. prepared cash-basis financial statements for the month ended January 31. A summary of Sussman's January activities follows: Credit sales of $5600. Collections of $1900 relating to January credit sales. Accrued salaries of $1200. By what amount will Sussman's cash-basis income for the month ended January 31 increase as a result of restating these activities to the accrual basis of accounting?,"$2,500","To restate to accrual basis, include all credit sales and accrued expenses regardless of cash flow. Cash-basis income includes $1900 collections, but accrual basis includes full $5600 credit sales, increasing income by $3700 ($5600 - $1900). Accrued salaries of $1200 reduce income on accrual basis. Net increase in income = $3700 - $1200 = $2500.",1,answer>1</answer>
663,663,663,663,663,663,Qwen/Qwen2.5-7B-Instruct,Approximately what percent of the population scores between 70 and 130 on the WISC?,95,"Approximately 95% of the population scores between 70 and 130 on the WISC. This range represents about two standard deviations below and above the mean IQ score of 100. It encompasses the majority of individuals, indicating average to above-average cognitive ability.",1,answer>1</answer>
664,664,664,664,664,664,Qwen/Qwen2.5-7B-Instruct,"The premium rate on homeowners insurance for the ABC Insurance Company is $.96 per $100. In addition, ABC allows a discount of 20% of the premium if the homeowner accepts a policy containing a $250 deductible clause. Calculate the premium for a homeowners policy for $27,000 containing a $250 deductible clause.",$207,"First, calculate the base premium: $27,000 ÷ 100 = 270 units; 270 × $0.96 = $259.20. Next, apply the 20% discount: 20% of $259.20 = $51.84. Finally, subtract the discount from the base premium: $259.20 - $51.84 = $207.36. The premium for the policy with the $250 deductible clause is $207.36.",1,answer>1</answer>
665,665,665,665,665,665,Qwen/Qwen2.5-7B-Instruct,The Cauchy density function is given by f(x) = [K / (1 + x^2)]- \infty \leq x \leq \infty. Determine (a) the value of K such that f(x) is a probability density function. (b) the expected value of X. (c) the variance of X.,"K = 1/π, E(X) = 0, Variance of X = ∞","(a) To make \( f(x) = \frac{K}{1 + x^2} \) a probability density function, the integral over all \( x \) must equal 1: \(\int_{-\infty}^{\infty} \frac{K}{1+x^2} dx = 1\). Since \(\int_{-\infty}^{\infty} \frac{1}{1+x^2} dx = \pi\), we have \(K \pi = 1\), so \(K = \frac{1}{\pi}\).

(b) The expected value \(E[X]\) does not exist because the integral \(\int_{-\infty}^{\infty} x f(x) dx\) diverges for the Cauchy distribution.

(c) The variance \(Var(X)\) also does not exist since the second moment \(\int_{-\infty}^{\infty} x^2 f(x) dx\) is infinite for the Cauchy distribution.",1,answer>1</answer>
666,666,666,666,666,666,Qwen/Qwen2.5-7B-Instruct,"Calculate ∆H°_r for the combustion of methane, CH_4. The balanced reaction is CH_4(g) + 2O_2(g) \rightarrow CO_2(g) + 2H_2O(l) ∆H°_f in Kcal/mole = -17.89 , 0 , - 94.05 , 2(-68.32)",-212.8 Kcal/mole,"To calculate ∆H°_r, use the formula: ∆H°_r = Σ∆H°_f(products) - Σ∆H°_f(reactants). For the reaction CH_4 + 2O_2 → CO_2 + 2H_2O, ∆H°_r = [-94.05 + 2(-68.32)] - [-17.89 + 2(0)] = (-94.05 - 136.64) - (-17.89) = -230.69 + 17.89 = -212.8 kcal/mol. The enthalpy change for the combustion of methane is -212.8 kcal/mol.",1,answer>1</answer>
667,667,667,667,667,667,Qwen/Qwen2.5-7B-Instruct,"In 1985 the space shuttle Challenger flew a cesium clock and compared its time with a fixed clock left on Earth. The shuttle orbited at approximately 330 km above Earth with a speed of 7712 m/s. Calculate the expected time lost per second (in picoseconds) for the moving clock and compare with the measured result of $-295.02 \pm 0.29 ps/s$, which includes a predicted effect due to general Relativity of $35.0 \pm 0.06 ps/s$",330.76,"To find the expected time lost per second for the moving clock, we calculate the special relativistic time dilation and the general relativistic gravitational time dilation. The special relativistic effect is given by \(\Delta t/t \approx -\frac{v^2}{2c^2}\), where \(v = 7712 \, m/s\) and \(c = 3 \times 10^8 \, m/s\). This gives \(-\frac{(7712)^2}{2(3 \times 10^8)^2} \approx -9.9 \times 10^{-11}\), or about \(-99 \, ps/s\). The general relativistic effect is \(+35.0 \, ps/s\), so the net expected time lost is \(-99 + 35 = -64 \, ps/s\). The measured result of \(-295.02 \pm 0.29 \, ps/s\) is significantly larger in magnitude, indicating additional factors or corrections were involved in the experiment.",0,0
668,668,668,668,668,668,Qwen/Qwen2.5-7B-Instruct,A projector with a lens of 40 cm focal length illuminates an object slide 4.0 cm long and throws an image upon a screen 20 m from the lens. What is the size of the pro-jected image?,200cm,"Using the lens formula \(\frac{1}{f} = \frac{1}{d_o} + \frac{1}{d_i}\), where \(f = 40 \text{ cm}\) and object distance \(d_o\) is unknown, image distance \(d_i = 20 \text{ m} = 2000 \text{ cm}\). Solving for \(d_o\):

\[
\frac{1}{40} = \frac{1}{d_o} + \frac{1}{2000} \implies \frac{1}{d_o} = \frac{1}{40} - \frac{1}{2000} = \frac{50 - 1}{2000} = \frac{49}{2000} \implies d_o \approx 40.82 \text{ cm}
\]

Magnification \(m = \frac{d_i}{d_o} = \frac{2000}{40.82} \approx 49\). The image size = magnification × object size = \(49 \times 4.0 \text{ cm} = 196 \text{ cm}\). Thus, the projected image is approximately 196 cm long.",0,0
669,669,669,669,669,669,Qwen/Qwen2.5-7B-Instruct,"What will be the number of lamps, each having 300 lumens, required to obtain an average illuminance of 50 lux on a 4m * 3m rectangular room?",2,"The area of the room is 4m * 3m = 12 m². To achieve an average illuminance of 50 lux, the total luminous flux needed is 50 lux * 12 m² = 600 lumens. Each lamp provides 300 lumens, so the number of lamps required is 600 lumens / 300 lumens per lamp = 2 lamps.",1,answer>1</answer>
670,670,670,670,670,670,Qwen/Qwen2.5-7B-Instruct,"A basketball team has 12 players, including 5 guards and 7 forwards. How many different starting lineups can be formed that include 3 guards and 2 forwards?",210,"To form a starting lineup with 3 guards and 2 forwards, choose 3 out of the 5 guards and 2 out of the 7 forwards. The number of ways to choose the guards is \( \binom{5}{3} = 10 \), and the number of ways to choose the forwards is \( \binom{7}{2} = 21 \). Multiply these to get the total number of lineups: \( 10 \times 21 = 210 \). So, 210 different starting lineups can be formed.",1,answer>1</answer>
671,671,671,671,671,671,Qwen/Qwen2.5-7B-Instruct,"While a person is walking, his arms swing through approximately a 45° angle in 0.5s.As a reasonable approximation, we can assume that the arm moves with constant speed during each swing. A typical arm is 70.0 cm long, measured from the shoulder joint. What is the acceleration (in metre per second squared) of a 1.0 g drop of blood in the fingertips at the bottom of the swing?",1.73,"The angular displacement is 45° = π/4 radians, and the time for the swing is 0.5 s. The angular velocity ω = θ / t = (π/4) / 0.5 = π/2 rad/s. The linear speed v at the fingertip is v = ωr = (π/2)(0.7) ≈ 1.1 m/s. The centripetal acceleration a = v² / r = (1.1)² / 0.7 ≈ 1.73 m/s². Thus, the acceleration of the blood drop is approximately 1.7 m/s².",1,answer>1</answer>
672,672,672,672,672,672,Qwen/Qwen2.5-7B-Instruct,"Pat bounces a basketball 25 times in 30 seconds. At that rate, approximately how many times will Pat bounce the ball in 150 seconds?",125,"Pat bounces the basketball 25 times in 30 seconds, so the rate is 25 ÷ 30 = 5/6 bounces per second. In 150 seconds, Pat will bounce the ball (5/6) × 150 = 125 times. Therefore, Pat will bounce the ball approximately 125 times in 150 seconds.",1,answer>1</answer>
673,673,673,673,673,673,Qwen/Qwen2.5-7B-Instruct,"You are given Mendel ' s original data on the inheritance of yellow versus green cotyledons. In his experiment, 8023 individuals were scored. Of the 8023, 6022 were yellow and 2001 were green. We expect that yellow and green will appear in a 3:1 ratio respectively. Using the chi-square test (X^2), how well does Mendel's data fit our proposed ratio?",,"To test Mendel's data, calculate expected numbers: yellow = 8023 × 3/4 = 6017.25, green = 8023 × 1/4 = 2005.75. Using the chi-square formula, X² = Σ((observed - expected)² / expected), we get X² = ((6022 - 6017.25)² / 6017.25) + ((2001 - 2005.75)² / 2005.75) ≈ 0.0037 + 0.0113 = 0.015. With 1 degree of freedom, this very low chi-square value indicates Mendel's data fits the 3:1 ratio extremely well.",0,0
674,674,674,674,674,674,Qwen/Qwen2.5-7B-Instruct,Use differentials to estimate the amount of tin in a closed tin can with diameter $8 \mathrm{~cm}$ and height $12 \mathrm{~cm}$ if the tin is $0.04 \mathrm{~cm}$ thick.,16 $\\mathrm{cm^3}$,"The volume of tin can be approximated by the differential of the volume of a cylinder. The volume \( V = \pi r^2 h \), with radius \( r = 4 \) cm and height \( h = 12 \) cm. The thickness \( dr = dh = 0.04 \) cm. Using differentials, \( dV = 2\pi r h \, dr + \pi r^2 \, dh = 2\pi (4)(12)(0.04) + \pi (4^2)(0.04) = 3.84\pi + 0.64\pi = 4.48\pi \) cm³. Thus, the estimated volume of tin is approximately \( 14.07 \) cm³.",0,answer>0</answer>
675,675,675,675,675,675,Qwen/Qwen2.5-7B-Instruct,"For 1000 seconds, a current of 0.0965 amp is passed through a 50 ml. of 0.1 M NaCl. You have only the reduction of H_2O to H_2 at the cathode and oxidation of Cl^- to Cl_2 at the anode. Determine the average concentration of OH^- in the final solution.",0.02M,"First, calculate the total charge passed: Q = I × t = 0.0965 A × 1000 s = 96.5 C. At the cathode, water is reduced to H₂, producing OH⁻ ions. The half-reaction is 2H₂O + 2e⁻ → H₂ + 2OH⁻, so 2 moles of electrons produce 2 moles of OH⁻. Moles of electrons = Q/F = 96.5 / 96485 ≈ 0.001 mol e⁻. Moles of OH⁻ produced = 0.001 mol. The volume is 50 mL = 0.05 L, so [OH⁻] = 0.001 / 0.05 = 0.02 M. Thus, the average OH⁻ concentration is 0.02 M.",1,answer>1</answer>
676,676,676,676,676,676,Qwen/Qwen2.5-7B-Instruct,"A 1,500-kw six-phase synchronous converter has a full-load d-c voltage of 600. Determines (a) the a-c voltage between rings; (b) the d-c output; (c) the a-c input per line.","(a) 212.4 volts, (b) 2,500 amp, (c) 1,180 amp","Given a 1,500 kW six-phase synchronous converter with a full-load d-c voltage of 600 V:

(a) The a-c voltage between rings (line-to-line voltage) is \( V_{ac} = \frac{V_{dc}}{\sqrt{3}} = \frac{600}{\sqrt{3}} \approx 346.4 \, V \).

(b) The d-c output power is 1,500 kW as given.

(c) The a-c input per line power is the total power divided by the number of phases: \( \frac{1500 \, kW}{6} = 250 \, kW \) per line.",0,answer>0</answer>
677,677,677,677,677,677,Qwen/Qwen2.5-7B-Instruct,The radioactive decay constant for radium is 1.36 × 10^-11 . How many disintegrations per second occur in 100 g of radium? The molecular weight of radium is 226 g/mole.,3.62 ×10^12 dis/sec,"First, calculate the number of moles in 100 g of radium: \( \frac{100}{226} \approx 0.442 \) moles. Then, find the number of atoms using Avogadro's number: \( 0.442 \times 6.022 \times 10^{23} \approx 2.66 \times 10^{23} \) atoms. The disintegrations per second (activity) is given by \( \lambda N = 1.36 \times 10^{-11} \times 2.66 \times 10^{23} \approx 3.62 \times 10^{12} \) disintegrations per second.",1,answer>1</answer>
678,678,678,678,678,678,Qwen/Qwen2.5-7B-Instruct,"25. Consider the initial value problem
$$
2 y^{\prime \prime}+3 y^{\prime}-2 y=0, \quad y(0)=1, \quad y^{\prime}(0)=-\beta,
$$
where $\beta>0$.
Find the smallest value of $\beta$ for which the solution has no minimum point.",2,"The characteristic equation is \(2r^2 + 3r - 2 = 0\), giving roots \(r = \frac{-3 \pm \sqrt{9 + 16}}{4} = \frac{-3 \pm 5}{4}\). Thus, \(r_1 = \frac{1}{2}\) and \(r_2 = -2\). The general solution is \(y = C_1 e^{t/2} + C_2 e^{-2t}\). Using initial conditions, \(y(0) = C_1 + C_2 = 1\) and \(y'(0) = \frac{1}{2}C_1 - 2C_2 = -\beta\).

To have no minimum, \(y'(t)\) should not change from negative to positive, so \(y'(t) \leq 0\) for all \(t\). The critical point occurs where \(y'(t) = 0\). Setting \(y'(t) = \frac{1}{2}C_1 e^{t/2} - 2 C_2 e^{-2t} = 0\), solve for \(t\):

\[
\frac{1}{2} C_1 e^{t/2} = 2 C_2 e^{-2t} \implies e^{(5/2) t} = \frac",0,0
679,679,679,679,679,679,Qwen/Qwen2.5-7B-Instruct,What is the units digit in the standard decimal expansion of the number 7^25?,7,"To find the units digit of \(7^{25}\), we look at the pattern of units digits in powers of 7. The units digits cycle every 4 powers: \(7^1 = 7\), \(7^2 = 9\), \(7^3 = 3\), \(7^4 = 1\), then it repeats. Since \(25 \mod 4 = 1\), the units digit of \(7^{25}\) is the same as that of \(7^1\), which is 7.",1,answer>1</answer>
680,680,680,680,680,680,Qwen/Qwen2.5-7B-Instruct,"A thermodynamic study of $\mathrm{DyCl}_3$ (E.H.P. Cordfunke, et al., J. Chem. Thermodynamics 28, 1387 (1996)) determined its standard enthalpy of formation from the following information
(1) $\mathrm{DyCl}_3(\mathrm{~s}) \rightarrow \mathrm{DyCl}_3(\mathrm{aq}$, in $4.0 \mathrm{M} \mathrm{HCl}) \quad \Delta_{\mathrm{r}} H^{\ominus}=-180.06 \mathrm{~kJ} \mathrm{~mol}^{-1}$
(2) $\mathrm{Dy}(\mathrm{s})+3 \mathrm{HCl}(\mathrm{aq}, 4.0 \mathrm{~m}) \rightarrow \mathrm{DyCl}_3(\mathrm{aq}$, in $4.0 \mathrm{M} \mathrm{HCl}(\mathrm{aq}))+\frac{3}{2} \mathrm{H}_2(\mathrm{~g})$ $\Delta_{\mathrm{r}} H^{\ominus}=-699.43 \mathrm{~kJ} \mathrm{~mol}^{-1}$
(3) $\frac{1}{2} \mathrm{H}_2(\mathrm{~g})+\frac{1}{2} \mathrm{Cl}_2(\mathrm{~g}) \rightarrow \mathrm{HCl}(\mathrm{aq}, 4.0 \mathrm{M}) \quad \Delta_{\mathrm{r}} H^{\ominus}=-158.31 \mathrm{~kJ} \mathrm{~mol}^{-1}$
Determine $\Delta_{\mathrm{f}} H^{\ominus}\left(\mathrm{DyCl}_3, \mathrm{~s}\right)$ from these data.",-994.3 $\\mathrm{~kJ} \\mathrm{~mol}^{-1}$,"To find \(\Delta_f H^\circ(\mathrm{DyCl}_3, s)\), combine the given reactions to form the formation reaction from elements in their standard states:

1. Reaction (1) is \(\mathrm{DyCl}_3(s) \to \mathrm{DyCl}_3(aq)\), \(\Delta H = -180.06\) kJ/mol.
2. Reaction (2) is \(\mathrm{Dy}(s) + 3 \mathrm{HCl}(aq) \to \mathrm{DyCl}_3(aq) + \frac{3}{2} \mathrm{H}_2(g)\), \(\Delta H = -699.43\) kJ/mol.
3. Reaction (3) is \(\frac{1}{2} \mathrm{H}_2(g) + \frac{1}{2} \mathrm{Cl}_2(g) \to \mathrm{HCl}(aq)\), \(\Delta H = -158.31\) kJ/mol.

Reverse (1) to get \(\mathrm{DyCl}_3(aq) \to \mathrm{DyCl}_3(s)\), \(\Delta H = +180.06\) kJ/mol.

Use (2) and subtract \(\frac{3}{2}\) times (3) to replace HCl:

\[
\mathrm{Dy}(s) + 3 \mathrm{H",0,0
